Frequent Itemsets:
 support                                                                                      itemsets
0.232603                                                                                     (Weekend)
0.898540                                                                              (SpecialDay_0.0)
0.140065                                                                                   (Month_Dec)
0.154663                                                                                   (Month_Mar)
0.272830                                                                                   (Month_May)
0.243147                                                                                   (Month_Nov)
0.209651                                                                          (OperatingSystems_1)
0.535361                                                                          (OperatingSystems_2)
0.207218                                                                          (OperatingSystems_3)
0.199676                                                                                   (Browser_1)
0.645661                                                                                   (Browser_2)
0.059692                                                                                   (Browser_4)
0.387672                                                                                    (Region_1)
0.092133                                                                                    (Region_2)
0.194891                                                                                    (Region_3)
0.095864                                                                                    (Region_4)
0.065288                                                                                    (Region_6)
0.061719                                                                                    (Region_7)
0.198783                                                                               (TrafficType_1)
0.317356                                                                               (TrafficType_2)
0.166423                                                                               (TrafficType_3)
0.086699                                                                               (TrafficType_4)
0.059854                                                                              (TrafficType_13)
0.137388                                                                     (VisitorType_New_Visitor)
0.855718                                                               (VisitorType_Returning_Visitor)
0.219627                                                                     (SpecialDay_0.0, Weekend)
0.057989                                                                          (Weekend, Month_May)
0.064152                                                                          (Month_Nov, Weekend)
0.059935                                                                 (Weekend, OperatingSystems_1)
0.100243                                                                 (Weekend, OperatingSystems_2)
0.060989                                                                 (Weekend, OperatingSystems_3)
0.057097                                                                          (Browser_1, Weekend)
0.144769                                                                          (Browser_2, Weekend)
0.087348                                                                           (Weekend, Region_1)
0.081103                                                                      (Weekend, TrafficType_2)
0.193187                                                      (VisitorType_Returning_Visitor, Weekend)
0.140065                                                                   (SpecialDay_0.0, Month_Dec)
0.154663                                                                   (SpecialDay_0.0, Month_Mar)
0.177778                                                                   (SpecialDay_0.0, Month_May)
0.243147                                                                   (SpecialDay_0.0, Month_Nov)
0.192376                                                          (SpecialDay_0.0, OperatingSystems_1)
0.478102                                                          (SpecialDay_0.0, OperatingSystems_2)
0.183942                                                          (SpecialDay_0.0, OperatingSystems_3)
0.182482                                                                   (SpecialDay_0.0, Browser_1)
0.577697                                                                   (SpecialDay_0.0, Browser_2)
0.053933                                                                   (SpecialDay_0.0, Browser_4)
0.347607                                                                    (SpecialDay_0.0, Region_1)
0.082157                                                                    (SpecialDay_0.0, Region_2)
0.173885                                                                    (Region_3, SpecialDay_0.0)
0.086456                                                                    (SpecialDay_0.0, Region_4)
0.058800                                                                    (SpecialDay_0.0, Region_6)
0.055637                                                                    (SpecialDay_0.0, Region_7)
0.185726                                                               (SpecialDay_0.0, TrafficType_1)
0.299676                                                               (SpecialDay_0.0, TrafficType_2)
0.139903                                                               (SpecialDay_0.0, TrafficType_3)
0.068938                                                               (SpecialDay_0.0, TrafficType_4)
0.132685                                                     (SpecialDay_0.0, VisitorType_New_Visitor)
0.758962                                               (SpecialDay_0.0, VisitorType_Returning_Visitor)
